label,category,locality,postal_code,latitude,longitude,description,ville_proche
Eglise Saint-Isidore,Site culturel,Saint-Désert,71390,46.75415,4.7098,"L’ église actuelle, avec un clocher dominant la façade,  a été agrandie entre 1862 et 1887.  Elle était autrefois sur la ligne des remparts du bourg.",348
La Poste,Logement,Malbuisson,25160,46.7995894,6.30477905,Hôtel de caractère au style résolument campagnard au coeur du village de Malbuisson.,123
Domaine du Chalet Pouilly,Activité,Solutré-Pouilly,71960,46.296236,4.730044,,373
Zone de tranquillité de la vie sauvage - 4 lacs,Paysage,La Chaux-du-Dombief,39150,46.604226,5.9037499,"Secteur des 4 Lacs : une zone de tranquillité pour la faune et les milieux naturels, du 15 avril au 15 septembre.",222
Appartement - Cuney Annie,Logement,Lons-le-Saunier,39000,46.670507,5.55912157,"En centre ville, appartement dans un immeuble.
 2 ch. 2 balcons
A proximité des Thermes et du Parc des Bains.
Tarif spécial curistes 800€",204
L'Orgelle,Logement,Auxerre,89290,47.7559763,3.5879148,,426
Dégustation de vins terroirs bourguignons - DSVin,Activité,Beaune,21200,47.025304,4.839521,"En Bourgogne à votre domicile, sur votre lieu de vacances, partagez un moment convivial avec vos proches, vos collègues autour d'une Dégustation",7
Le Luxovium - Rosiers,Logement,Luxeuil-les-Bains,70300,47.8198739,6.37665294,Maison de caractère. Face aux Thermes. Vous trouverez calme et confort dans un très beau cadre.,285
Square du 19 Mars 1962 (XXème siècle),Site culturel,Paray-le-Monial,71600,46.4533594,4.11874884,Ce petit square est orné d’une mosaïque commandée en 1997 par la ville aux membres de l’Association Paul Charnoz.,370
Sanctuaire de Paray-le-Monial,Site culturel,Paray-le-Monial,71600,46.4498177,4.12248132,"Haut-lieu de pèlerinage, Paray-le-Monial reçoit toute l'année des centaines de milliers de pèlerins.",370
Domaine Clos Saint Jean : Le Linteau des Maranges,Logement,Cheilly-lès-Maranges,71150,46.89664,4.66905,"Gîte classé*** et Accueil Vélo, propre, tout confort moderne, accessible par train et situé dans le village viticole  de Cheilly les Maranges!",385
La Courtavaux,Logement,Premeaux-Prissey,21700,47.1116533,4.9319195,,44
Hôtel la Bonne Auberge,Restaurant,Pays-de-Clerval,25340,47.3908333,6.4952778,"L'hôtel et le restaurant La Bonne Auberge sont situés à Pays-de-Clerval, petite ville de la vallée du Doubs.",146
Les Fauvettes,Logement,Levier,25270,46.9584123,6.1113399,,125
Restaurant le Yeti,Restaurant,Les Rousses,39220,46.47674,6.06501,"Au Yeti, nous vous accueillons dans un décor chaleureux.  Vous dégusterez une cuisine régionale de montagne ""fait maison"".",218
L'Ardoise,Restaurant,Saint-Clément,89100,48.219959,3.281469,"En périphérie de Sens, nouveau restaurant à l'ambiance cocooning, à la fois conviviale et intime et au décor chaleureux. Une alliance réussie entre la",459
Les Jardins d'Oniris,Activité,Poisson,71600,46.3838376,4.13947369,"Production et transformation de plantes à parfums, aromatiques et médicinales.",370
Eglise,Site culturel,Saules,25580,47.1221869,6.197913,,145
European Waterways Ltd -Péniche Hôtel,Logement,Ravières,89390,47.7313378,4.2245706,,40
La Table du Végas,Restaurant,Saint-Honoré-les-Bains,58360,46.9063646,3.83261832,"Restaurant panoramique situé à proximité du Parc thermal de Saint-Honoré-Les Bains.
Ouvert 5 jours sur 7, soirées à thèmes. Cuisine traditionnelle.",249
2CV Bourgogne Tours,Activité,Beaune,21200,47.014706,4.81785,"Située à Beaune, au cœur de la Bourgogne, 2CV Bourgogne Tours est une société de tourisme qui propose la mise à disposition de 2CVs.",7
Caprices des chèvres,Activité,Couloutre,58220,47.408655,3.227813,La chèvrerie Caprices des Chèvres vous propose une production de fromages fermiers en agriculture biologique.,238
Le Goût des Autres,Restaurant,Auxerre,89000,47.7952816,3.57027654,"Ce petit restaurant situé en coeur de ville vous propose viandes, salades et pâtes fraiches dans une ambiance chaleureuse et décontractée.",418
Château de Varennes,Logement,Varennes-lès-Mâcon,71000,46.2705439,4.8068444,"Exceptionnel château du XI siècle qui propose des chambres d’hôtes au cœur même du château ainsi qu’un restaurant ""Au château"".",331
Historial de l'Amitié Franco-Américaine de Beaune,Activité,Beaune,21200,47.029468,4.8615448,Découvrez le musée historique du camp américain de Beaune durant la 1ère Guerre Mondiale. Unique en Côte d'Or !,7
Restaurant La Belle Epoque,Restaurant,La Clayette,71800,46.2923614,4.3063896,"Venez découvrir notre carte spécialisée viande charolaise maturée par nos sois, dans une ambiance brocante rétro et terrasse face au château",328
Aire de service et de stationnement pour les campings-cars,Logement,Sainte-Croix-en-Bresse,71470,46.5729188,5.24667386,,353
Loiseau des Vignes,Restaurant,Beaune,21200,47.0226094,4.8346261,La Cuisine permet de déguster les spécialités de Bourgogne et les créations du chef Mourad Haddouche.,7
Les Carrières,Logement,Lacrost,71700,46.553574,4.927811,,409
Visite guidée du village de Pesmes,Activité,Pesmes,70140,47.27982,5.56324,"Dominant l’Ognon du haut de son promontoire, Pesmes est l’un des Plus Beaux Villages de France.",291
Yang Appart,Logement,Dijon,21000,47.3274067,5.0384371,,19
Restaurant Le Bouchon Bourguignon,Restaurant,Tournus,71700,46.56579,4.90807,"La cuisine du bouchon de Yohann Chapuis a la bienveillance des plats de famille, la convivialité des tables d’amis, dans un cadre chaleureux et puise",409
Chalet Gabriel,Logement,Luxeuil-les-Bains,70300,47.8244544,6.3723825,"Chalet plain pied, à 5 min des Thermes à Luxeuil-les-Bains. Séjour, coin cuisine, une chambre, salon, salle d'eau douche, wc, terrasse avec pelouse.",285
Fosse de Coulmier-le-Sec,Site culturel,Coulmier-le-Sec,21400,47.75021,4.49362,"Au 18e siècle, le village de Coulmier-le-Sec, en Côte-d’Or, a fait construire un
bassin monumental et unique en France pour récupérer les eaux de plui",12
Château de Tracy,Activité,Tracy-sur-Loire,58150,47.3207324,2.89286503,Vins blancs de l'AOC Pouilly-Fumé. HVE: Haute Valeur Environnementale - Propriétaire Récoltant à Tracy sur Loire - White Wine of the Pouilly-Fumé's,253
La Petite Maison,Logement,Diges,89240,47.7242776,3.36130249,Gîte indépendant situé dans un ensemble de bâtiments disposant d'un jardin clos avec barbecue. Les petits animaux sont admis.,435
Le site des Forges Royales,Site culturel,Guérigny,58130,47.088139,3.191654,Pierre Babaud de La Chaussade (1706-1792) a constitué à partir de 1743 une entreprise métallurgique de première importance.,242
"Aurélie Muskovac, Massage Beaune",Activité,Beaune,21200,47.01903,4.83666,"Massage Beaune  : Thaï, Tui-Na, réflexologie plantaire, femmes enceintes relaxation et détente centrés sur le bien-être. Massage de 45' à 2h00.",7
Gîte n°G1857,Logement,Nanchez,39150,46.5226135,5.8494972,,203
Randonnée à Autrey-Lès-Gray,Activité,Autrey-lès-Gray,70100,47.48628,5.49162,,268
Hôtel de l'Ecluse n° 79,Restaurant,Chassignelles,89160,47.7596623,4.173974,"Terrasse au bord du canal de Bourgogne ombragée par de beaux marronniers. A l'étage, une autre terrasse entièrement vitrée avec vue sur le canal.",40
La Côte Monsieur - Gîte La Réserve de l'Ecureuil,Logement,Étivey,89310,47.6910337,4.1175573,"La Côte Monsieur, située en Bourgogne, à proximité du village médiéval de Noyers-sur-Serein et des vignobles de Chablis et Tonnerre.",471
Passeport Détente,Activité,Coulanges-sur-Yonne,89480,47.52639,3.53961,,233
Restaurant du Port,Restaurant,Villers-le-Lac,25130,47.068149,6.69075539,"Au bord du lac de Chaillexon, le restaurant du Port vous accueille pour déguster des fritures de poissons et des spécialités régionales!",176
Hôtel Villa du Parc,Logement,Nevers,58000,46.9916699,3.1549215,"Situé en face le parc Salengro, et tout à côté du sanctuaire, l'accueil est équivalent à celui d' une maison d'hôtes. Chaque chambre a son style.",251
Gîte Cascades des Tufs,Logement,La Châtelaine,39600,46.875234,5.8164619,"Profitez d'un superbe domaine au milieu d'un parc de 3 ha, dans un village qui surplombe la magnifique Reculée des Planches. Immanquable !",178
La Brasserie du Pont de Fer,Restaurant,Sens,89100,48.2079348,3.2763255,"A proximité du centre-ville de Sens, accueil amical et chaleureux, dans une ambiance industrielle et moderne.",467
Terra Nova Mineraux,Activité,Cuisia,39190,46.54284,5.40081,"Atelier avec salle d'exposition-vente ouverte au public sur rendez-vous. 
 Large gamme de pierres et créations de bijoux. Ecoute et conseils.",192
Le Commerce,Restaurant,Brinon-sur-Beuvron,58420,47.28062,3.49122,Bar situé sur la place centrale du village juste à côté de l'épicerie.,266
Les ouvrages fortifiés : OUVRAGES DE LA CRETE DE POUILLEY-LES-VIGNES (1889-1891),Activité,Pouilley-les-Vignes,25115,47.2538442,5.9376083,"L'ensemble fortifié de Pouilley assure la protection Nord-ouest du camp retranché de Besançon, il est réalisé de 1889 à 1891.",153
Les Vignots,Activité,Beaune,21200,47.0234027,4.8401318,,7
Gîte le Creux de Vennes,Logement,Vennes,25390,47.15893,6.5447,,144
Regnaudot Bernard et Florian,Activité,Dezize-lès-Maranges,71150,46.9095023,4.6523542,,43
Chêne Vert,Logement,Semur-en-Brionnais,71110,46.264042,4.095048,,356
Champ de César ou d'Agneux,Site culturel,Rully,71150,46.875041,4.740823,,377
Le Vieux Château,Logement,Thenissey,21150,47.4922462,4.6239813,,72
Grossot Jean-Pierre et Corinne,Activité,Fleys,89800,47.8140073,3.8572251,,424
L'Alchimiste,Activité,Arleuf,58430,47.02543,3.99055,,231
Les coquilles de Mr Gaster,Activité,Thieffrans,70230,47.5010855,6.317876,"Nos escargots sont élevés et transformés par nos soins, avec des produits essentiellement locaux (beurre, comté, légumes, vins)...",157
Chalet n° 2 Centaurée,Logement,Uxelles,39130,46.60384,5.78733,,189
Le Lumineux de Battant,Logement,Besançon,25000,47.24061,6.01891,"Appartement entièrement équipé, calme et lumineux avec vue. Situé en hypercentre historique de Besançon (Quartier Madeleine - Battant)",81
Gite Iza,Logement,Lormes,58140,47.29146,3.81624,"Cette maison de ville est au centre de Lormes, petite ville du Morvan.",244
La Maison de Balanin,Logement,Villers-Farlay,39600,46.998684,5.7524058,"Accueil de groupe et organisation de séjours à caractère éducatif, festif ou professionnel.",210
Fruirouge&Compagnie l'épicerie fermière,Activité,Nuits-Saint-Georges,21700,47.1355829,4.94786293,"Fruirouge et compagnie, l'épicerie fermière est une boutique de produits fermiers, produits régionaux, bio au centre-ville de Nuits-Saint-Georges.",44
Camping Onlycamp Le Petit Port,Logement,Châtel-Censoir,89660,47.5356298,3.6327691,Camping deux étoiles entre Yonne et Canal du Nivernais offrant des emplacements tentes et camping.,233
Chez Félix,Restaurant,Besançon,25000,47.2464,6.02344629,"""Cuisine française. Laissez-vous tenter par nos plats et nos boissons.""",81
Le Petit Robinson,Activité,Bourbon-Lancy,71140,46.64061,3.75253,"Niché en bord de Sommes, Le Petit Robinson véritable guinguette d'époque où petits et grands passeront un agréable moment. Possibilité de restauration",313
"Les Cabanes du Valleron - La Cabane ""du sapin""",Logement,Curtil-sous-Buffières,71520,46.3991444,4.5381646,"Cabanes pour 4 personnes tout confort, massages de bien-être et repos en pleine nature.",358
Grotte de Sous Buen,Paysage,Baume-les-Dames,25110,47.34527,6.37129,Jolie petite grotte dans le quartier de Cour à Baume les Dames. Accessible par une échelle.,79
La Bergerie,Logement,Montgesoye,25111,47.089393,6.206545,"Gîte dans une ferme comtoise de 1846, entouré de champs et de verdure au-dessus de la vallée de la Loue.",145
Maison Laroze,Logement,Gevrey-Chambertin,21220,47.2251,4.97052,"La Maison Laroze, située en plein cœur de Gevrey-Chambertin sur la route des Grands Crus offre 6 suites spacieuses à la décoration raffinée.",24
Aux Quatre Vents,Restaurant,Saulieu,21210,47.2752484,4.2252936,,57
Visite guidée : entre ponts,Activité,Besançon,25000,47.24021,6.02725,"La visite, qui vous conduira du pont de la République au pont Canot, évoquera les différentes manières de vivre non loin de la rivière",81
La sudagna,Logement,La Chailleuse,39570,46.602815,5.5126413,,226
Château de Chamirey,Activité,Mercurey,71640,46.825608,4.724649,"Le Domaine du Château de Chamirey, planté dans les meilleurs terroirs de Mercurey, comprend 37 hectares (27 ha de rouges et 10 ha de blancs)",360
La Cantinière,Logement,Fougerolles-Saint-Valbert,70220,47.9072033,6.423171,,276
Brasserie Granvelle,Restaurant,Besançon,25000,47.2353193,6.0266374,"Dans un parc arboré au cœur du centre ville, la Brasserie Granvelle vous reçoit dans une ambiance détendue et amicale...",81
La Maison de Simone,Logement,Simard,71330,46.741196,5.182548,,405
Boutique Maille,Activité,Dijon,21000,47.3224068,5.0367183,,19
Gîte Petot,Logement,Pont-de-Poitte,39130,46.5836652,5.7001023,"Maison indépendante, de plain-pied, avec véranda, sur terrain entièrement clos, en bordure de rivière. Tous commerces sur place. Quartier calme.",189
Environnement Pêche Nature,Activité,Foncine-le-Bas,39520,46.6397149,6.0354867,"En famille, entre amis,  en solo
Je suis votre connexion à la Nature 
Pour faire de cet instant,
Une journée qui devra rester dans vos rêves …",198
Chez Lyly et Bapt,Restaurant,Dole,39100,47.0916463,5.4915076,Bar à pâtes et salades,196
La Brébaume,Logement,Frontenay,39210,46.78623,5.61921,Ce gîte 12 personnes vous accueille dans le cadre enchanteresse du Château de Frontenay.,197
Chambres d'hôtes Premnord,Logement,Premeaux-Prissey,21700,47.11339,4.93331,,44
Ecole départementale de musique,Activité,Scey-sur-Saône-et-Saint-Albin,70360,47.6654122,5.9670373,Ecole de musique : cours de solfège et instruments.,303
Spa Repaire,Logement,Joncherey,90100,47.54135,7.01891,,503
Longue vue - La maison de Jean,Logement,Arbois,39600,46.9014,5.78114,maison d'hôte avec vue panoramique sur l'entrée de la reculée des Planches; petit déjeuner inclus; parking sur place - possibilité de garage vélo/moto,178
Des Exterpois,Logement,Blois-sur-Seille,39210,46.749115,5.672731,,197
Le Bistrot de la Fontaine,Restaurant,Clairvaux-les-Lacs,39130,46.5755008,5.75168609,Café brasserie situé au cœur du village de Clairvaux-les-Lacs à 5min à pied du lac. Ambiance pub irlandais. Terrasse estivale. Ouvert toute la journée,189
Céramique Leba Condon,Activité,Pontigny,89230,47.9092538,3.7103548,"Je crée des pièces utilitaires et décoratives en porcelaine et grès. Vases, cruches, animaux de collection, gobelets, suspensions, tableaux, bols...",444
Les Flots Bleus,Logement,Saint-Jean-de-Losne,21170,47.103976,5.260709,"Situé sur le port ""La Gare d'Eau"" l'aire de service vous permet de réaliser votre ravitaillement en eau, électricité et vidanger vos eaux usées.",56
Saule en Fa,Activité,Pontarlier,25300,46.90578,6.35404,"Atelier -boutique, vannerie classique d'osier, réalisations originales tressées avec d'autres végétaux glanés localement : paniers, cabas, mangeoires.",152
Ateliers de la Neuvième Art et Thérapie Mireille Kazmine,Activité,Montceau-les-Mines,71300,46.6775153,4.3664159,"Bien dans sa tête, bien dans son corps, bien dans sa vie. 
Créer un univers à l'intérieur du quel vous vous sentez bien !",362
Restaurant des 1000 Truffes,Restaurant,Marey-lès-Fussey,21700,47.11893,4.85917,,28
Boulangerie Soyer,Restaurant,Coulanges-sur-Yonne,89480,47.5251546,3.540072,,233
Le Tiki des Coucous,Logement,Foncine-le-Haut,39460,46.6595,6.04815," Plongez  au cœur d'un véritable havre de paix, niché au cœur du Parc Naturel du Haut Jura. Les Nuits de Coucou vous offre une expérience inoubliable",198
Jocelyne Grosjean - Le Petit Gîte,Logement,Châtelblanc,25240,46.67258,6.11493695,"Appartement à l'étage dans la maison du propriétaire.
Week-end sur demande (hors hiver).",198
Eglise Notre-Dame et Saint-Blaise,Site culturel,Bussy-la-Pesle,21540,47.3674713,4.70615457,,21
Gîte des Sommières,Logement,Andelot-en-Montagne,39110,46.8573186,5.92499225,,223
Fabien Hutnyk,Logement,Luxeuil-les-Bains,70300,47.8202468,6.37875389,"Meublé T2 entièrement rénové à 100 mètres des Thermes, tout confort, place de parking privée, linge de maison et draps fournis, cuisine équipée, ...",285
Gîte des Iris,Logement,Montceaux-Ragny,71240,46.620918,4.843767,,401
Hopital Saint-Jacques,Site culturel,Besançon,25000,47.2356406,6.02129101,"Construit en 1686 à l’instigation de monseigneur de Grammont, archevêque de Besançon, l’hôpital Saint-Jacques devient, par Louis XIV, hôpital général.",81
Ferme des petits chênes,Logement,Andelot-en-Montagne,39110,46.8547923,5.93380729,,223
Borne Flot Bleu de Maxilly-sur-Saône,Logement,Maxilly-sur-Saône,21270,47.3402,5.43063,,48
L'Atelier d'Emma,Activité,Bessey-en-Chaume,21360,47.07902,4.743164,Création d'objets en terre cuite,59
Le Tilleul,Logement,Chissey-en-Morvan,71540,47.130421,4.202864,,57
La grange combaret,Logement,Cernans,39110,46.9328412,5.92848,,223
Abbaye de Fontenay,Site culturel,Marmagne,21500,47.62156,4.367492,"Fondée en 1118 par saint Bernard, l'Abbaye de Fontenay est l'un des plus anciens monastères cisterciens d'Europe, classé à l'UNESCO en 1981.",40
Appartement chez Bernard,Logement,Montperreux,25160,46.8351064,6.34749054,Appartement situé au rez-de-chaussée de la maison des propriétaires,93
Les Bruyères (étape),Logement,Alligny-en-Morvan,58230,47.199833,4.177142,,57
Chalet Alpy Marie-Rose,Logement,Cerniébaud,39250,46.7332772,6.1053449,,198
Domaine de raquettes du val de morteau,Activité,Morteau,25500,47.05698,6.604106,,139
Tipsip Brewing,Activité,Brassy,58140,47.26191,3.93624,,244
Fillon,Activité,Saint-Bris-le-Vineux,89530,47.7436425,3.6502417,,458
Parc Aventure les Z'accrochés,Activité,Sauvigny-les-Bois,58160,46.9537117,3.2450116,,257
Jeu famille - Grimoire d'Alchimiste,Activité,Marcigny,71110,46.274512,4.04132224,"Partez à la découverte de la ville de Marcigny, tout en vous amusant en famille, ça vous dit ? Notre jeu de piste est fait pour vous !",356
Michel Sports - Location de vélos,Activité,La Pesse,39370,46.2844784,5.84761644,Magasin de sports | Location de vélos,221
La Ferme du Pas Radis,Activité,Saint-Étienne-en-Bresse,71370,46.7034993,5.05780216,"Producteur de fruits et légumes de saison, à retrouver sur commande à la ferme et sur la place de St-Étienne-en-Bresse tous les jeudis de 15h30 à 19h.",311
Hôtel du Centre - Le P'tit Gourmet,Restaurant,Tonnerre,89700,47.8566353,3.974528,"Bienvenue à l'Hôtel du Centre, un établissement de caractère et traditionnel situé dans le centre ville de Tonnerre en Bourgogne, au cœur du Tonnerroi",471
La Clé des Champs,Logement,Toulon-sur-Arroux,71320,46.682636,4.136101,,408
Vintage Camper,Logement,Champagnole,39300,46.748695,5.9070177,"Voyager dans le temps, en prenant le temps, dans un combi des années 70. Liberté et simplicité pour un ressourcement garanti !",184
Le Nid d'Ecureuil,Logement,Epiry,58800,47.176357,3.741887,,234
Chalet -Les Hauts Bois - Anémone,Logement,Chapelle-des-Bois,25240,46.6026475,6.11299629,"Chalet Mitoyen ""Anémone"", situé dans une nature préservée au calme en lisière de forêt et au départ des pistes de ski de fond, raquette et randonnée.",198
Location de matériel de ski - Intersport Alti 1000,Activité,Métabief,25370,46.7690938,6.35525819,,131
Gros Michel,Activité,Vosne-Romanée,21700,47.1595458,4.9552993,,44
Gîte meublé 1 - Espace Bruno Mutin,Logement,Métabief,25370,46.7734204,6.3497416,"Au cœur du village de Métabief, gîtes complètement meublé et adapté pour accueillir 12 personnes, dont 6 personnes en situation de handicap.",131
Chalet vigneron,Logement,Cosne-Cours-sur-Loire,58200,47.417042,2.927632,,235
Maison du Sabotier,Site culturel,Flacey-en-Bresse,71580,46.5984567,5.39193562,,400
Gîte La Couttrotte Becquine,Logement,Heuilley-sur-Saône,21270,47.3292236,5.45233271,"Cette ancienne dépendance de nos aïeuls charpentier-menuisier, située face à la propriété familiale, a été réhabilité pour devenir un gîte de campagne",48
Chez Guy,Restaurant,Sens,89100,48.1971688,3.2785554,"Dans la principale rue piétonne de Sens, ce restaurant propose une cuisine traditionnelle et du vrai ""fait maison"" pour un budget plus que raisonnable",467
"Fontaines, lavoirs et abreuvoirs de Pin",Site culturel,Pin,70150,47.3220057,5.86436704,,148
Le chalet de la petite niçoise,Restaurant,Chavannes-les-Grands,90100,47.5912708,7.0415662,,507
Bernard Bonnet,Logement,La Châtelaine,39600,46.873359,5.814273,"Dans le calme et la verdure, petit chalet posé sur un terrain clos de seize ares. Il est composé d'une pièce à vivre, d'une petite cuisine et d'une sa",178
Centre équestre de la Forêt de Chaux,Activité,Dole,39100,47.0735723,5.5241681,,196
Boulangerie Au Fournil de Manon - Pont-de-Poitte,Restaurant,Pont-de-Poitte,39130,46.58533,5.69801,"Boulangerie, pâtisserie
ouvert toute l'année",189
